label,statement,subject,speaker,speaker's job title,state,party,barely true counts,false counts,half true counts,mostly true counts,pants on fire counts,context,polarity,subjectiveWordsCount,subjectivity
5,2,13,413,567,38,16,63.0,114.0,51.0,37.0,61.0,2497,-0.3499999999999999,2,2
3,2,18,487,11,38,13,3.0,0.0,1.0,0.0,0.0,261,0.05,0,1
1,2,3,103,783,60,8,18.0,12.0,22.0,41.0,0.0,633,0.0,2,1
4,2,7,1254,94,23,16,7.0,8.0,10.0,12.0,3.0,2031,0.0,2,1
5,2,5,1521,320,63,4,12.0,6.0,2.0,2.0,3.0,1560,0.0,1,1
2,1,7,488,499,63,16,1.0,0.0,0.0,1.0,0.0,1009,0.0,1,1
1,2,50,1137,349,5,4,3.0,7.0,11.0,2.0,3.0,851,0.0,1,1
4,40,61,781,889,41,4,0.0,2.0,4.0,4.0,1.0,252,0.0,0,1
1,22,9,1287,983,49,4,0.0,0.0,0.0,0.0,0.0,1656,-0.2,2,2
0,282,18,565,893,56,16,11.0,3.0,8.0,6.0,5.0,788,0.0,2,1
4,402,43,1540,474,12,4,0.0,0.0,1.0,2.0,0.0,2490,0.0,3,1
3,761,48,1006,886,30,5,0.0,0.0,1.0,0.0,0.0,566,0.0,1,1
3,719,3,103,783,60,8,18.0,12.0,22.0,41.0,0.0,1051,0.3181818181818182,5,2
0,2,30,593,568,38,4,40.0,29.0,69.0,76.0,7.0,1695,0.6,1,0
5,5344,33,865,206,67,4,0.0,0.0,0.0,0.0,1.0,242,-0.45,1,0
1,1,155,1328,783,36,4,1.0,3.0,1.0,3.0,0.0,1496,0.1,2,2
4,168,13,593,568,38,4,40.0,29.0,69.0,76.0,7.0,2301,0.75,3,0
3,761,38,530,860,63,16,2.0,8.0,3.0,4.0,1.0,1761,-0.35714285714285715,1,0
2,124,7,1082,185,30,16,8.0,22.0,6.0,4.0,16.0,30,0.0,2,1
3,5350,64,1626,101,27,11,0.0,0.0,1.0,0.0,0.0,1783,0.0,1,1
0,296,6,413,567,38,16,63.0,114.0,51.0,37.0,61.0,2017,0.0,3,1
1,2,38,1207,768,73,16,19.0,6.0,16.0,14.0,2.0,1226,0.0,3,2
0,1,40,1445,698,54,16,0.0,1.0,0.0,1.0,1.0,1071,0.0,2,1
4,1703,13,1508,647,56,16,36.0,33.0,15.0,19.0,8.0,1176,-0.15,3,2
5,974,125,351,384,56,16,8.0,8.0,10.0,5.0,5.0,1720,0.0,0,1
4,10,30,103,783,60,8,18.0,12.0,22.0,41.0,0.0,1679,0.0,0,1
5,362,12,790,324,43,16,9.0,8.0,10.0,18.0,3.0,634,0.4,1,2
3,1,46,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1340,0.0,0,1
4,1,2,1104,783,59,16,0.0,0.0,1.0,1.0,0.0,219,-0.6999999999999998,1,2
1,341,30,1351,785,56,16,5.0,8.0,8.0,8.0,3.0,1595,0.0,2,1
1,2,38,1022,783,63,4,3.0,1.0,6.0,3.0,0.0,820,0.0,3,1
2,1705,2,84,716,63,16,1.0,1.0,0.0,0.0,0.0,1711,-0.15,0,2
2,1706,18,1022,783,63,4,3.0,1.0,6.0,3.0,0.0,2347,0.25,2,2
4,2504,26,1212,968,54,13,0.0,0.0,0.0,1.0,0.0,2743,0.0,1,1
3,1303,3,790,324,43,16,9.0,8.0,10.0,18.0,3.0,1646,0.0,0,1
0,1,89,1147,159,14,16,16.0,15.0,20.0,10.0,11.0,2466,0.06818181818181818,3,1
4,50,15,80,530,18,4,70.0,71.0,160.0,163.0,9.0,56,0.0,0,1
4,122,6,80,530,18,4,70.0,71.0,160.0,163.0,9.0,780,-0.15,2,2
2,34,48,1508,647,56,16,36.0,33.0,15.0,19.0,8.0,2650,-0.09375,3,1
0,1,13,413,567,38,16,63.0,114.0,51.0,37.0,61.0,1676,0.0,0,1
4,390,18,868,37,5,4,0.0,0.0,2.0,2.0,0.0,1712,0.0,2,1
4,27,71,1351,785,56,16,5.0,8.0,8.0,8.0,3.0,2842,0.5,2,2
4,1,5,1177,938,45,4,0.0,1.0,0.0,3.0,0.0,1017,0.0,2,1
3,2,13,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1274,-0.13095238095238096,2,1
3,3844,10,593,568,38,4,40.0,29.0,69.0,76.0,7.0,1208,0.0,3,1
4,96,24,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,1650,0.0,1,1
4,93,126,111,190,11,13,0.0,0.0,0.0,1.0,0.0,1,-0.08333333333333333,4,1
4,593,29,1503,769,18,4,1.0,1.0,0.0,1.0,0.0,2714,-0.2,3,1
0,1,94,378,775,12,4,7.0,9.0,8.0,15.0,3.0,2061,0.0,1,1
4,5370,9,967,737,56,4,1.0,0.0,2.0,7.0,0.0,605,0.0,1,1
4,1,3,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,1522,0.0,3,1
0,1,151,413,567,38,16,63.0,114.0,51.0,37.0,61.0,214,0.0,0,1
4,1,62,1356,783,45,4,0.0,1.0,0.0,3.0,0.0,1264,0.2,1,1
4,1303,89,1566,439,45,4,0.0,0.0,0.0,1.0,0.0,868,0.0,0,1
3,1,30,816,837,14,16,0.0,0.0,1.0,0.0,0.0,2491,0.0,0,1
5,2,73,80,530,18,4,70.0,71.0,160.0,163.0,9.0,2235,-0.125,0,1
4,1,45,593,568,38,4,40.0,29.0,69.0,76.0,7.0,237,0.0,1,1
0,22,10,819,606,12,16,2.0,1.0,0.0,0.0,1.0,2508,0.525,2,2
4,5378,85,182,62,56,16,0.0,0.0,0.0,1.0,0.0,1264,0.0,1,1
0,3849,2,80,530,18,4,70.0,71.0,160.0,163.0,9.0,277,0.25,2,2
4,22,20,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1431,0.19318181818181815,3,2
1,912,10,853,804,12,18,0.0,0.0,0.0,0.0,0.0,1177,0.0,3,1
3,5381,73,1106,320,20,16,8.0,10.0,12.0,5.0,0.0,2539,0.25,1,2
3,765,40,1606,698,14,4,1.0,0.0,2.0,1.0,1.0,481,0.0,0,1
4,22,3,1550,786,43,4,0.0,0.0,0.0,5.0,1.0,1656,0.0,1,1
4,2,63,1396,0,54,16,1.0,0.0,0.0,1.0,0.0,532,0.0,3,1
0,51,85,80,530,18,4,70.0,71.0,160.0,163.0,9.0,2488,0.0,0,1
4,4,9,1389,673,73,4,0.0,0.0,0.0,2.0,1.0,1004,-0.6,2,0
3,65,3,1085,57,7,13,0.0,1.0,1.0,0.0,0.0,2813,0.0,3,1
4,283,15,593,568,38,4,40.0,29.0,69.0,76.0,7.0,2844,0.1,2,1
1,1,6,154,320,63,16,6.0,5.0,7.0,6.0,3.0,1002,0.25,1,2
1,1,10,886,434,12,4,0.0,0.0,1.0,0.0,0.0,2337,0.0,0,1
4,22,43,473,896,32,16,1.0,1.0,2.0,1.0,0.0,2090,0.13333333333333333,4,1
0,2,12,413,567,38,16,63.0,114.0,51.0,37.0,61.0,447,0.0,0,1
3,1431,3,1093,718,43,16,0.0,1.0,1.0,0.0,0.0,92,0.0,1,1
2,54,9,1207,768,73,16,19.0,6.0,16.0,14.0,2.0,1700,0.0,0,1
1,83,10,687,297,29,4,1.0,0.0,3.0,2.0,0.0,1862,0.21666666666666667,4,2
4,31,22,668,215,12,16,0.0,0.0,1.0,1.0,0.0,652,-0.024999999999999998,2,1
4,1,50,327,18,56,4,0.0,0.0,0.0,1.0,0.0,1944,0.033333333333333326,4,2
3,113,2,282,785,12,16,0.0,0.0,2.0,1.0,0.0,1492,0.0,2,1
5,1,14,110,718,43,16,0.0,1.0,1.0,1.0,3.0,1891,0.0,1,1
1,1,12,163,732,56,4,2.0,1.0,0.0,0.0,1.0,1935,-0.4,3,2
4,3866,38,1256,595,63,16,1.0,0.0,4.0,3.0,0.0,1749,0.0,1,0
1,595,18,208,96,32,16,0.0,1.0,0.0,0.0,0.0,123,-0.08333333333333333,1,2
4,2179,50,1232,538,70,16,0.0,0.0,0.0,1.0,0.0,1700,0.30000000000000004,2,2
4,1,20,1298,320,56,16,30.0,30.0,42.0,23.0,18.0,1087,0.0,2,1
3,251,3,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,566,0.0,0,1
4,22,18,413,567,38,16,63.0,114.0,51.0,37.0,61.0,3062,0.0,1,1
1,19,6,975,681,36,4,0.0,1.0,1.0,2.0,2.0,2311,-0.05028409090909091,4,2
1,184,35,822,681,36,4,2.0,2.0,0.0,1.0,0.0,1167,0.5,2,2
0,1915,133,440,418,63,4,1.0,1.0,1.0,1.0,0.0,1560,0.0,1,1
0,1,5,1098,279,12,16,0.0,3.0,1.0,1.0,0.0,2496,0.45,1,0
3,1,13,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,2979,-0.25,3,2
2,1,7,791,637,27,4,3.0,2.0,2.0,5.0,0.0,2137,0.13636363636363635,1,2
3,124,18,1207,768,73,16,19.0,6.0,16.0,14.0,2.0,447,-0.05,2,2
3,1,3,251,895,66,4,0.0,0.0,1.0,0.0,0.0,1583,0.5833333333333334,4,2
4,27,3,722,130,43,16,0.0,0.0,0.0,1.0,0.0,1293,0.1,3,1
4,113,6,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1095,0.021428571428571463,3,2
4,23,3,1299,320,12,16,28.0,23.0,38.0,34.0,7.0,2619,0.022727272727272724,6,2
4,1,53,80,530,18,4,70.0,71.0,160.0,163.0,9.0,3030,0.0,1,1
2,246,13,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,171,0.25,0,2
2,2,3,574,755,14,4,3.0,0.0,4.0,3.0,0.0,2370,0.5,2,2
0,1,45,991,783,12,16,33.0,24.0,32.0,35.0,5.0,2999,0.037500000000000006,4,1
2,90,13,1029,402,26,4,3.0,1.0,10.0,4.0,0.0,2341,-0.15,2,2
5,18,12,1411,430,73,16,5.0,1.0,6.0,1.0,2.0,2060,0.0,0,1
4,187,18,39,790,30,4,0.0,0.0,0.0,2.0,0.0,2543,0.0,3,2
0,1,44,571,759,73,4,3.0,4.0,4.0,3.0,1.0,1313,0.0,1,1
0,27,13,785,729,63,18,0.0,1.0,0.0,0.0,0.0,1180,-0.5,3,2
4,113,36,1314,87,38,4,0.0,0.0,0.0,2.0,0.0,2535,0.0,2,1
3,2,7,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1864,0.0,0,1
0,13,3,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,2350,0.3,1,1
4,1,15,593,568,38,4,40.0,29.0,69.0,76.0,7.0,824,0.0,1,1
4,114,2,637,603,18,4,0.0,0.0,0.0,1.0,0.0,2258,-0.16666666666666666,0,1
4,73,13,133,320,37,4,1.0,2.0,3.0,8.0,1.0,777,-0.16666666666666666,0,1
3,1,22,1038,605,45,4,0.0,0.0,3.0,0.0,0.0,658,0.0,0,1
1,221,51,1100,831,3,16,12.0,5.0,9.0,3.0,4.0,1180,0.0,0,1
4,124,66,895,783,35,16,2.0,1.0,1.0,4.0,0.0,1685,0.0,0,1
1,390,18,431,989,45,16,0.0,1.0,1.0,1.0,0.0,868,-0.11250000000000003,5,2
3,2186,3,113,888,3,4,4.0,2.0,12.0,11.0,3.0,2043,0.0,1,0
2,199,6,242,322,36,16,10.0,17.0,27.0,19.0,8.0,1294,0.1515151515151515,2,2
5,5417,2,235,88,54,16,0.0,2.0,0.0,0.0,1.0,1941,0.0,1,1
2,1,30,1521,320,63,4,12.0,6.0,2.0,2.0,3.0,1711,0.0,1,1
3,1,68,80,530,18,4,70.0,71.0,160.0,163.0,9.0,850,0.0,0,1
1,199,3,206,768,38,4,0.0,0.0,0.0,0.0,0.0,817,0.6,3,0
3,2,14,790,324,43,16,9.0,8.0,10.0,18.0,3.0,1260,0.0,2,0
3,27,3,1298,320,56,16,30.0,30.0,42.0,23.0,18.0,1157,0.0,0,1
4,10,85,1309,791,43,16,3.0,5.0,11.0,11.0,1.0,995,0.0,0,1
4,64,5,66,448,43,4,0.0,1.0,2.0,3.0,0.0,991,0.0,4,1
4,316,2,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,373,-0.16666666666666666,0,1
4,27,17,1547,783,63,4,8.0,3.0,15.0,15.0,0.0,1009,0.1,1,1
4,517,3,911,83,5,4,0.0,0.0,0.0,3.0,0.0,1339,0.0,2,1
3,302,40,1557,415,73,4,2.0,5.0,8.0,5.0,3.0,1966,0.5,3,2
2,22,6,625,768,51,4,1.0,1.0,0.0,1.0,0.0,2031,0.0,3,1
3,2,26,1123,646,23,16,7.0,6.0,5.0,7.0,0.0,2017,0.4,0,0
0,23,3,1451,159,27,4,1.0,1.0,0.0,1.0,0.0,2114,-0.25,1,1
5,13,46,1207,768,73,16,19.0,6.0,16.0,14.0,2.0,735,0.0,0,1
0,1,30,1482,785,56,16,1.0,3.0,0.0,0.0,1.0,899,0.06818181818181818,2,1
3,2,2,80,530,18,4,70.0,71.0,160.0,163.0,9.0,321,0.0,1,1
3,28,3,766,663,43,16,13.0,22.0,11.0,4.0,2.0,1330,0.0,2,2
4,6,7,1231,755,14,16,2.0,5.0,2.0,1.0,1.0,1121,0.0,1,1
1,2,2,712,566,56,16,0.0,0.0,0.0,0.0,0.0,87,0.0,0,1
3,1,48,889,783,56,16,2.0,4.0,4.0,3.0,0.0,1646,0.16,1,2
3,98,9,504,274,12,4,0.0,0.0,1.0,0.0,0.0,1121,0.0,2,1
2,1,18,1068,856,56,16,1.0,0.0,1.0,4.0,0.0,193,-0.6,1,0
0,2,18,1373,36,38,16,9.0,11.0,10.0,7.0,3.0,133,-0.05681818181818182,2,2
0,496,75,1147,159,14,16,16.0,15.0,20.0,10.0,11.0,2840,0.0,0,1
0,108,20,80,530,18,4,70.0,71.0,160.0,163.0,9.0,108,0.0,2,1
3,23,46,1109,410,56,4,0.0,0.0,1.0,0.0,0.0,991,0.21428571428571427,2,2
1,113,3,1390,181,14,4,0.0,1.0,0.0,1.0,0.0,2374,0.2857142857142857,2,2
4,22,9,392,987,45,16,0.0,4.0,1.0,2.0,0.0,577,0.0,0,1
3,445,75,571,759,73,4,3.0,4.0,4.0,3.0,1.0,737,-0.1,1,1
1,645,2,1410,446,73,16,26.0,41.0,32.0,40.0,11.0,3028,0.09583333333333333,5,2
3,124,3,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1411,0.011111111111111118,6,1
3,50,24,801,790,2,16,31.0,39.0,31.0,37.0,8.0,762,0.1,1,1
5,1,30,579,36,56,4,0.0,0.0,0.0,0.0,1.0,1121,0.0,0,1
3,1,68,413,567,38,16,63.0,114.0,51.0,37.0,61.0,1264,0.1,2,2
2,169,9,80,530,18,4,70.0,71.0,160.0,163.0,9.0,427,0.0,1,1
3,2,125,1411,430,73,16,5.0,1.0,6.0,1.0,2.0,1966,0.0,3,1
4,647,115,1628,494,73,15,0.0,0.0,0.0,1.0,0.0,1004,0.0,1,1
0,49,8,1410,446,73,16,26.0,41.0,32.0,40.0,11.0,2499,0.4,3,0
2,1,2,1553,376,56,16,1.0,0.0,0.0,0.0,0.0,472,0.2,1,2
3,124,7,962,790,51,16,2.0,2.0,4.0,2.0,0.0,2543,-0.1,3,1
4,7,7,801,790,2,16,31.0,39.0,31.0,37.0,8.0,1467,0.0,1,1
0,2,68,80,530,18,4,70.0,71.0,160.0,163.0,9.0,2320,0.16666666666666666,2,2
3,1223,20,113,888,3,4,4.0,2.0,12.0,11.0,3.0,2166,0.2857142857142857,3,2
3,595,7,711,785,43,16,1.0,0.0,3.0,3.0,0.0,301,0.27575757575757576,4,0
4,22,3,743,790,10,4,11.0,10.0,21.0,16.0,4.0,991,0.08333333333333333,4,1
0,124,9,1444,690,73,4,0.0,1.0,1.0,1.0,0.0,1004,0.28,3,2
2,1,10,0,192,56,4,1.0,0.0,0.0,0.0,0.0,1055,0.0,0,1
3,3074,15,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1833,0.0,0,1
4,1063,14,1410,446,73,16,26.0,41.0,32.0,40.0,11.0,1264,-0.0625,2,2
2,23,45,773,647,56,16,5.0,3.0,6.0,2.0,1.0,1700,0.0,0,1
2,103,45,508,7,54,16,1.0,4.0,3.0,3.0,0.0,1942,0.0,0,1
4,2541,13,933,181,56,16,2.0,5.0,1.0,3.0,0.0,2376,-0.5,5,2
2,247,92,191,946,14,13,1.0,0.0,0.0,0.0,0.0,2376,0.0,1,1
4,10,10,103,783,60,8,18.0,12.0,22.0,41.0,0.0,2972,0.0,1,1
1,28,9,1410,446,73,16,26.0,41.0,32.0,40.0,11.0,1167,0.0,0,1
0,294,9,242,322,36,16,10.0,17.0,27.0,19.0,8.0,1342,0.1,2,2
2,23,9,653,809,11,13,2.0,2.0,1.0,2.0,0.0,706,0.06818181818181818,2,1
0,2,17,1254,94,23,16,7.0,8.0,10.0,12.0,3.0,1686,0.22424242424242424,1,2
0,733,2,350,447,73,4,3.0,5.0,2.0,1.0,0.0,1264,0.0,0,1
1,122,15,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1574,0.1875,3,2
0,23,9,1298,320,56,16,30.0,30.0,42.0,23.0,18.0,2874,0.0,0,1
0,2,32,413,567,38,16,63.0,114.0,51.0,37.0,61.0,3014,0.0,1,1
2,2,125,593,568,38,4,40.0,29.0,69.0,76.0,7.0,2137,0.0,1,1
5,124,22,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,566,0.0,1,1
1,76,20,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1337,0.0,0,1
0,1,18,1309,791,43,16,3.0,5.0,11.0,11.0,1.0,643,0.0,2,1
2,335,3,490,64,56,4,1.0,2.0,2.0,0.0,1.0,1121,0.03125,1,1
1,10,10,801,790,2,16,31.0,39.0,31.0,37.0,8.0,1742,0.0,0,1
3,3912,18,349,918,49,4,7.0,4.0,5.0,4.0,1.0,851,0.0,1,1
2,2,20,1433,763,72,16,1.0,1.0,0.0,0.0,0.0,566,-0.06818181818181818,2,2
3,1,12,1619,719,32,16,0.0,0.0,1.0,0.0,0.0,1955,0.0,1,1
3,336,9,239,698,14,16,1.0,0.0,1.0,1.0,0.0,1681,0.025,4,1
3,51,12,1410,446,73,16,26.0,41.0,32.0,40.0,11.0,1966,0.0,0,1
1,1,3,593,568,38,4,40.0,29.0,69.0,76.0,7.0,1391,0.2,2,1
2,1934,26,1373,36,38,16,9.0,11.0,10.0,7.0,3.0,357,0.2,2,1
1,21,15,601,768,12,16,0.0,0.0,1.0,0.0,0.0,1133,-0.15000000000000002,0,1
4,130,5,1221,690,73,4,0.0,2.0,2.0,3.0,1.0,1966,0.11666666666666665,3,2
4,22,18,296,790,36,4,0.0,4.0,2.0,8.0,0.0,1062,0.2681818181818182,2,2
4,23,12,847,483,43,16,4.0,5.0,4.0,5.0,6.0,1603,0.0,1,1
2,113,71,991,783,12,16,33.0,24.0,32.0,35.0,5.0,1277,-0.2111111111111111,3,2
1,645,3,80,530,18,4,70.0,71.0,160.0,163.0,9.0,2002,0.35,2,2
1,1,30,593,568,38,4,40.0,29.0,69.0,76.0,7.0,1194,0.25,2,2
1,5472,15,801,790,2,16,31.0,39.0,31.0,37.0,8.0,447,0.0,1,1
3,253,18,413,567,38,16,63.0,114.0,51.0,37.0,61.0,1700,0.0,0,1
5,76,20,1351,785,56,16,5.0,8.0,8.0,8.0,3.0,758,0.0,0,1
2,3087,10,24,919,49,16,2.0,2.0,0.0,2.0,1.0,445,0.0,0,1
3,13,98,766,663,43,16,13.0,22.0,11.0,4.0,2.0,527,0.0,0,1
2,1,6,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,322,0.0,2,1
4,1063,3,284,461,26,9,1.0,0.0,2.0,2.0,0.0,2150,0.0,1,1
5,250,10,1105,432,56,4,1.0,0.0,1.0,1.0,1.0,1983,0.06666666666666668,3,2
1,1,9,1243,634,45,13,0.0,0.0,1.0,1.0,0.0,913,0.5,1,2
3,83,8,1029,402,26,4,3.0,1.0,10.0,4.0,0.0,1873,-0.0625,4,2
1,113,12,1148,698,36,4,0.0,0.0,0.0,0.0,0.0,2148,0.13636363636363635,2,2
3,649,38,80,530,18,4,70.0,71.0,160.0,163.0,9.0,1264,0.1,1,2
2,1,45,1508,647,56,16,36.0,33.0,15.0,19.0,8.0,436,0.0,0,1
0,23,30,1558,783,44,16,2.0,3.0,3.0,2.0,0.0,2259,0.0,2,1
5,13,2,1124,296,27,16,34.0,32.0,58.0,33.0,19.0,1381,0.0,0,1
3,2,18,988,545,24,4,0.0,0.0,1.0,0.0,0.0,1857,0.16,1,2
2,869,13,405,1,63,4,1.0,2.0,1.0,3.0,0.0,1176,0.0,0,1
3,494,20,389,785,43,4,1.0,3.0,4.0,6.0,0.0,301,-0.04166666666666666,4,2
0,2,15,121,234,70,13,0.0,1.0,0.0,3.0,0.0,2539,0.25,1,2
3,2,121,27,789,12,16,6.0,9.0,3.0,1.0,4.0,179,0.0,0,1
3,65,101,1299,320,12,16,28.0,23.0,38.0,34.0,7.0,1917,-0.0375,4,1
4,2,63,1144,712,36,4,0.0,0.0,0.0,1.0,0.0,1121,0.06818181818181818,1,2
0,253,12,413,567,38,16,63.0,114.0,51.0,37.0,61.0,2017,0.0,1,1
1,5485,89,88,33,14,13,0.0,0.0,0.0,0.0,0.0,897,0.1,2,2
1,932,17,904,40,56,16,0.0,2.0,0.0,1.0,0.0,1352,-0.125,3,2
4,3929,30,593,568,38,4,40.0,29.0,69.0,76.0,7.0,3023,0.0,1,1
3,1,8,860,420,56,4,0.0,0.0,3.0,3.0,0.0,2649,0.0,0,1
3,1,45,593,568,38,4,40.0,29.0,69.0,76.0,7.0,1718,0.0,3,1
