speaker,speaker's job title,state,party,true counts,mostly true counts,half true counts,mostly false counts,false counts,pants on fire counts,count
Facebook Posts,Social Media,None,None,21,41,81,153,636,317,1257
Donald Trump,Former US President,New York,Republican,35,84,120,189,341,161,967
Barack Obama,Former US President,Illinois,Democrat,124,165,162,71,71,9,639
Bloggers,Blog Post,None,None,8,18,22,45,171,368,632
Viral Image,"Graphics, pictures and charts shared on social media",California,None,3,11,25,41,339,204,625
Hillary Clinton,Former President Candidate,New York,Democrat,72,76,69,43,31,9,323
Mitt Romney,US Senator,Utah,Republican,30,33,58,34,32,19,226
Scott Walker,Former Governor,Wisconsin,Republican,26,44,39,40,43,11,213
Joe Biden,US President,Delaware,Democrat,24,43,45,39,33,6,197
Chain Email,Chain Email,None,None,6,5,8,11,44,107,188
John Mccain,Former US Senator,Arizona,Republican,37,37,31,32,39,8,184
Rick Perry,Former US Secretary of Energy,Texas,Republican,26,24,43,30,31,18,183
Marco Rubio,US Senator,Florida,Republican,21,38,34,38,28,5,179
Bernie Sanders,US Senator,Vermont,Independent,21,60,44,26,18,0,178
Rick Scott,US Senator,Florida,Republican,15,36,41,37,31,8,175
Ted Cruz,US Senator,Texas,Republican,7,22,20,46,42,10,164
Chris Christie,Former Governor,New Jersey,Republican,21,19,27,10,17,8,111
Newt Gingrich,Former Speaker of the US Representatives,Georgia,Republican,7,11,21,16,15,12,93
Paul Ryan,Former Speaker of the US Representatives,Wisconsin,Republican,10,16,24,23,7,5,89
Jeb Bush,Former Governor,Florida,Republican,14,24,17,18,5,2,87
Charlie Crist,US Representative,Florida,Democrat,15,19,20,15,9,2,82
Instagram Posts,Social Media,None,None,1,0,4,11,49,16,81
Ron Johnson,US Senator,Wisconsin, Republican,8,17,13,21,8,2,74
John Boehner,Former Speaker of the US Representatives,Ohio,Republican,17,4,11,13,22,2,74
Greg Abbott,Governor,Texas,Republican,13,11,12,16,13,6,72
John Kasich,Former Governor,Ohio,Republican,16,18,10,9,8,3,70
Sarah Palin,Former Governor,Alaska,Republican,14,6,9,9,20,6,69
Rick Santorum,Former US Senator,Pennsylvania,Republican,6,7,14,13,17,5,69
Rand Paul,US Senator,Kentucky,Republican,12,15,13,7,11,4,69
Mike Pence,Former US Vice President,Indiana,Republican,5,7,18,11,22,2,69
Michele Bachmann,Former US Representative,Minnesota,Republican,5,4,6,8,22,16,68
Tim Kaine,US Senator,Virginia,Democrat,12,17,15,8,4,0,65
National Republican Congressional Committee,Political Party Committee,None,Republican,4,5,8,20,13,9,62
Tweets,Social Media,None,None,2,3,4,5,23,16,54
Tammy Baldwin,US Senator,Wisconsin,Democrat,9,13,14,12,6,0,54
Rudy Giuliani,Former Mayor,New York,Republican,8,7,10,9,12,7,54
Nancy Pelosi,Speaker of the US Representatives,California,Democrat,6,7,15,10,10,4,52
Debbie Wasserman Schultz,US Representative,Florida,Democrat,6,15,8,7,9,3,52
Rob Portman,US Senator,Ohio,Republican,17,11,11,3,5,1,50
Bill Clinton,Former US President,Arkansas,Democrat,9,12,13,5,2,3,50
Nathan Deal,Former Governor,Georgia,Republican,13,11,11,9,5,0,49
Democratic Congressional Campaign Committee,Political Party Committee,None,Democrat,1,1,8,14,8,9,49
Rush Limbaugh,Radio Show Host,None,None,0,2,5,10,17,12,48
National Republican Senatorial Committee,Political Party Committee,None,Republican,1,2,9,15,9,6,48
Mike Huckabee,Former Governor,Arkansas,Republican,8,3,9,12,6,4,44
David Dewhurst,Former Lieutenant Governor,Texas,Republican,4,5,10,8,8,5,44
Sherrod Brown,US Senator,Ohio,Democrat,15,9,6,4,4,1,42
Ron Paul,Former US Representative,Texas,Republican,8,8,8,5,10,3,42
Republican Party Of Florida,Party Affiliation,Florida,Republican,2,6,6,12,9,4,41
Dan Patrick,Lieutenant Governor,Texas,Republican,7,7,4,6,5,9,40
Mitch Mcconnell,Senate Minority Leader,Kentucky,Republican,5,9,6,8,6,1,39
Democratic National Committee,Political Action Committee,None,Democrat,7,8,12,9,2,0,39
Bob Mcdonnell,Former Governor,Virginia,Republican,8,6,7,6,5,3,39
John Cornyn,US Senator,Texas,Republican,10,4,9,6,6,1,38
Eric Cantor,Former US Representative,Virginia,Republican,7,4,4,9,6,4,38
Andrew Cuomo,Governor,New York,Democrat,15,5,8,7,3,0,38
